Country	Track	Layout	Year	Grade	Length (KM)	Altitude (Meter)	Number of turns	DLC	Default date
Austria	Spielberg (Red Bull Ring)	Spielberg Short	2020	Ungraded/Alternate	2.330	660	6		2020-7-5
Austria	Spielberg (Red Bull Ring)	Spielberg STT	2020	Grade 3	2.330	660	6	Adrenaline 2	2020-7-5
Austria	Spielberg (Red Bull Ring)	Spielberg Historic 1974	1974	Historic	5.896	660	9		1974-4-22
Brazil	Tarumã	Tarumã International	2020	Grade 4	3.016	71	9		2020-4-28
Brazil	Tarumã	Tarumã Chicane	2020	Ungraded/Alternate	3.074	71	11		2020-4-28
Argentina	Termas de Río Hondo	Termas de Río Hondo	2020	Grade 2	4.806	280.75	14		2022-5-29
Finland	Tykki	Tykki Dirt 1	2022	Off-road	0.910	81	8	Adrenaline 1	2022-5-28
Finland	Tykki	Tykki Dirt 2	2022	Off-road	1.680	81	14	Adrenaline 1	2022-5-28
Finland	Tykki	Tykki RX	2022	Off-road	1.015	81	11	Adrenaline 1	2022-5-28
Finland	Tykki	Tykki Tarmac	2022	Off-road	0.750	81	7	Adrenaline 1	2022-5-28
Brazil	Velo Cittá	Velo Cittá	2020	Grade 3	3.328	750	15		2020-6-28
Brazil	Velo Cittá	Velo Cittá Club Day	2020	Ungraded/Alternate	1.721	750	7		2020-6-28
Brazil	Velo Cittá	Velo Cittá Track Day	2020	Ungraded/Alternate	3.369	750	16		2020-6-28
Brazil	Velopark	Velopark 2010	2020	Ungraded/Alternate	2.153	15	10		2020-4-12
Brazil	Velopark	Velopark 2017	2020	Grade 3	2.278	15	13		2020-4-12
Brazil	Velopark	Velopark 2017 STT	2020	Grade 3	2.278	15	13	Adrenaline 2	2020-4-12
USA	Virginia	Virginia International Raceway Full	2020	Grade 2	5.262	65	18		2020-9-17
USA	Virginia	Virginia International Raceway Grand	2020	Ungraded/Alternate	6.759	65	24		2020-9-17
USA	Virginia	Virginia International Raceway North	2020	Ungraded/Alternate	3.621	65	14		2020-9-17
USA	Virginia	Virginia International Raceway Patriot	2020	Ungraded/Alternate	1.770	65	13		2020-9-17
USA	Virginia	Virginia International Raceway South	2020	Ungraded/Alternate	2.655	65	9		2020-9-17
USA	Watkins Glen	Watkins Glen GP	2020	Grade 2	5.430	452	11	Racin´ USA 1	2021-10-1
USA	Watkins Glen	Watkins Glen GP (Inner Loop)	2020	Grade 2	5.552	452	15	Racin´ USA 1	2021-10-1
USA	Watkins Glen	Watkins Glen Short	2020	Grade 2	3.907	452	7	Racin´ USA 1	2021-10-1
USA	Watkins Glen	Watkins Glen Short (Inner Loop)	2020	Grade 2	3.943	452	11	Racin´ USA 1	2021-10-1
USA	Watkins Glen	Watkins Glen STT	2020	Grade 2	3.943	452	11	Adrenaline 2	2021-10-1
